,Episode,Mean,Stddev
613,613,36.2,0.24495
614,614,36.3,0.4
615,615,36.4,0.2
616,616,36.5,0
617,617,36.3,0.24495
618,618,36.3,0.24495
619,619,36.3,0.24495
620,620,36.2,0.4
621,621,36.4,0.2
622,622,36.5,0
623,623,36.4,0.2
624,624,36.3,0.24495
625,625,23.1034,26.29416
626,626,36.5,0
627,627,36.3,0.24495
628,628,36.4,0.2
629,629,36.4,0.2
630,630,36.5,0
631,631,36.1,0.2
632,632,36.1,0.2
633,633,36.4,0.2
634,634,36.3,0.24495
635,635,36.5,0
636,636,36.5,0
637,637,36.5,0
638,638,36.5,0
639,639,36.5,0
640,640,36.5,0
641,641,36.5,0
642,642,36.5,0
643,643,36.5,0
644,644,36.5,0
645,645,36.5,0
646,646,36.5,0
647,647,36.5,0
648,648,36.5,0
649,649,36.5,0
650,650,36.5,0
651,651,36.5,0
652,652,36.5,0
653,653,36.5,0
654,654,36.5,0
655,655,36.5,0
656,656,36.5,0
657,657,36.5,0
658,658,36.2,0.24495
659,659,36.3,0.24495
660,660,36.3,0.24495
661,661,36.3,0.24495
662,662,36.4,0.2
663,663,36,0
664,664,36.5,0
665,665,22.79609,27.15852
666,666,36.2,0.24495
667,667,36.4,0.2
668,668,36.3,0.24495
669,669,36.3,0.24495
670,670,36.5,0
671,671,36.5,0
672,672,36.4,0.2
673,673,36.2,0.24495
674,674,36.4,0.2
675,675,36.3,0.24495
676,676,36.5,0
677,677,36.4,0.2
678,678,36.5,0
679,679,36.3,0.24495
680,680,15.29593,42.15858
681,681,36.3,0.24495
682,682,36.1,0.37417
683,683,35.8,0.24495
684,684,3.8782,64.99389
685,685,36.3,0.24495
686,686,36.5,0
687,687,36.2,0.24495
688,688,36.5,0
689,689,36.5,0
690,690,36.5,0
691,691,36.5,0
692,692,36.5,0
693,693,36.5,0
694,694,36.5,0
695,695,36.5,0
696,696,36.5,0
697,697,36.5,0
698,698,36.5,0
699,699,36.5,0
700,700,36.5,0
701,701,36.5,0
702,702,36.5,0
703,703,36.5,0
704,704,36.5,0
705,705,36.5,0
706,706,36.5,0
707,707,36.5,0
708,708,36.5,0
709,709,36.5,0
710,710,36.5,0
711,711,1.35758,43.06579
712,712,36.5,0
713,713,17.39426,38.21147
714,714,18.12534,36.74932
715,715,6.42038,60.15924
716,716,36.5,0
717,717,36.5,0
718,718,16.80018,39.39964
719,719,23.77403,25.45194
720,720,36.5,0
721,721,36.5,0
722,722,36.5,0
723,723,36.5,0
724,724,26.72495,19.55011
725,725,36.5,0
726,726,36.5,0
727,727,36.5,0
728,728,36.5,0
729,729,36.5,0
730,730,36.5,0
731,731,36.5,0
732,732,36.5,0
733,733,36.5,0
734,734,17.83783,37.32435
735,735,36.5,0
736,736,36.5,0
737,737,36.5,0
738,738,36.5,0
739,739,36.5,0
740,740,36.3,0.24495
741,741,36.4,0.2
742,742,36.2,0.24495
743,743,36.5,0
744,744,15.6168,41.7664
745,745,36.4,0.2
746,746,12.00111,29.90671
747,747,36.5,0
748,748,36.4,0.2
749,749,36.5,0
750,750,36.5,0
751,751,36.3,0.24495
752,752,36.1,0.2
753,753,36.1,0.37417
